id,titulo,descricao,status,data
77,NÃO RECEBIMENTO DE FATURA COMPLETA,Há muito a empresa deixou de me enviar as faturas impressa ou por email. Quando tendo obter pela Agência Virtual não consigo aces,Não respondida,Há 1 dia
78,Aumento de luz dobrado,"Meu histórico de consumo da light sempre vinha no máximo 300kwh. De novembro pra cá, mesmo não mudando nada em casa, meu histórico",Não respondida,Há 1 dia
79,Relógio Velocista,Sou cliente da light há mais de 10 anos em 4 imóveis diferentes. A light possui meu histórico de consumo de 10 anos.No,Não respondida,Há 1 dia
80,Queda de luz,"Hoje, 02/02/2024, estou com minha geladeira desligada, com risco de meus alimentos estragar porque o fornecimento de energia está",Não respondida,Há 1 dia
81,Cobrança não chega,"Todo mês é uma luta para tentar pegar a conta de luz, a conta não chega ao meu endereço o WhatsApp que era o meio mais simples de",Não respondida,Há 1 dia
82,Sem luz,Estou sem luz na minha loja desde terça feira dia 30/01 de manhã. Tenho um monte de protocolos e não me atendem! As atendentes diz,Não respondida,Há 1 dia
83,Falta de energia e descaso com o cliente,"Estou sem energia desde o dia 31/01/2024, onde quando tem aparece oscilando, ou seja é um problema na fase. Foi detectado que um g",Respondida,Há 1 dia
84,Conta paga consta em aberto,"A conta com vencimento de dezembro foi paga, tendo boleto emitido no próprio site da empresa, veio o boleto junto com a conta. A c",Respondida,Há 1 dia
85,"Novamente aqui sobre o mesmo assunto, preciso do envio da última parcela do meu acordo","Tenho um acordo que foi feito em 7x, já paguei 6 parcelas, preciso do envio da última e a light não me encaminha, novamente abrind",Não respondida,Há 1 dia
86,48 horas sem luz,"Prezados, já estamos a quase 48 horas sem luz, por um problema que já vem acontecendo com frequência, infelizmente fazem o reparo",Respondida,Há 1 dia
87,Ligacao direta,Ligação direta aparente em dois imóveis localizados dentro de um condomínio situado na Estrada das Agulhas Negras,Não respondida,Há 1 dia
88,Minha energia em uma fase a ponto de queimar eletrodomésticos,"Boa tarde ,estou desde o dia 21/12/2023 com queda de energia, fica só em uma fase ,antes era só em tempo de muito calor,agora no t",Respondida,Há 2 dias
89,Mato esbarrando na fiação,"Tentei registar emergência no próprio site da light, porém está aparecendo que está com erro no servidor, devido o mato está esbar",Respondida,Há 2 dias
90,Pix do site,"Entrei no site da light e copiei o pix para efetuar o pagamento, efetuei e está no nome de uma JMM Investimentos e o valor não foi",Respondida,Há 2 dias
